D0,D1,D2,F3,F4,D5,F6,F7,F8,Label
0,1,1,1,1,0,0,1,1,0
1,0,0,0,1,0,1,1,0,1
1,0,1,0,0,1,0,1,0,1
0,0,1,0,0,1,1,1,1,0
0,0,1,0,1,1,0,1,1,0
0,1,0,0,1,1,1,0,1,0
0,0,1,0,1,1,1,1,1,0
1,0,0,1,0,0,1,1,1,1
1,1,1,1,1,0,0,0,1,1
1,1,0,0,0,0,1,1,0,0
1,1,0,1,1,1,0,1,0,1
1,1,0,1,1,0,1,0,1,0
0,1,0,0,1,1,0,1,0,0
1,0,1,1,1,1,0,0,1,1
0,1,1,0,0,1,1,1,1,1
0,0,1,0,1,1,0,0,1,0
0,0,0,0,0,0,1,1,1,0
1,1,0,1,1,1,0,1,1,1
0,0,0,0,0,1,1,0,0,1
1,1,0,1,0,1,0,1,0,1
0,0,1,1,0,0,1,1,0,1
1,1,1,0,0,1,0,1,1,0
0,0,1,0,0,0,1,1,1,1
1,0,0,1,1,1,1,0,1,0
1,0,0,0,1,0,0,1,1,1
1,0,1,0,1,0,0,1,1,0
0,1,1,1,1,1,0,1,0,1
1,1,0,1,1,0,1,0,0,0
1,0,1,0,0,0,0,0,1,0
1,0,1,1,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0
1,0,0,0,1,1,0,1,0,0
0,0,1,0,1,1,1,1,1,0
1,1,0,0,1,1,1,0,1,1
0,1,1,1,1,1,1,0,1,1
0,0,1,1,0,1,1,0,0,0
0,0,1,1,1,0,1,1,0,1
0,0,0,1,0,1,0,1,0,1
0,0,1,1,1,0,0,0,0,1
1,1,0,0,0,0,1,0,0,0
1,0,0,1,0,1,1,1,1,0
1,0,0,1,0,1,1,1,0,0
0,0,0,0,0,1,1,1,0,1
0,1,1,0,0,0,0,1,1,0
1,1,1,0,1,0,1,0,0,1
1,0,0,0,0,1,0,0,0,0
0,0,1,0,1,0,0,0,1,1
1,1,0,0,1,1,1,0,0,1
0,1,1,1,1,1,1,0,1,1
1,0,1,0,1,0,1,0,1,0
0,1,0,1,1,1,1,1,0,0
0,0,1,1,1,1,1,0,0,0
1,0,1,1,0,0,0,1,0,0
0,1,0,1,1,0,0,1,0,1
0,0,1,0,0,1,0,1,1,0
1,1,0,0,1,0,1,0,1,0
1,1,0,0,1,0,0,1,0,0
1,0,1,0,1,0,1,1,0,0
0,1,0,0,0,1,0,0,1,0
0,1,0,0,0,0,0,0,1,1
1,1,0,1,0,0,0,1,1,0
1,0,0,1,1,1,0,1,1,0
0,1,1,0,1,0,0,1,1,0
0,0,1,0,0,0,0,0,0,1
0,0,1,0,1,0,1,1,1,1
1,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,1,1,0,0
1,1,1,0,1,1,1,1,1,0
0,1,0,0,0,0,0,0,0,1
0,1,1,0,1,1,0,1,0,1
0,0,1,1,1,1,1,1,1,0
1,1,1,1,1,0,1,0,1,1
1,1,1,0,1,0,1,1,1,1
1,0,1,1,1,0,1,0,1,0
0,1,0,1,1,1,1,0,1,0
0,1,1,1,0,0,0,1,1,0
0,1,1,1,1,1,0,0,0,1
0,1,0,1,0,1,1,0,0,0
1,0,1,1,0,1,1,1,0,1
1,1,1,0,1,0,0,0,0,1
1,1,0,0,1,0,0,1,0,0
1,0,0,1,0,0,1,0,0,1
1,0,0,1,1,1,1,0,0,0
1,0,0,0,1,1,0,0,0,0
0,0,0,0,1,1,0,1,0,1
1,1,0,0,0,0,0,0,1,0
1,1,0,1,0,1,0,0,1,1
1,0,1,0,1,1,0,1,0,1
0,1,0,0,1,1,1,1,1,0
0,0,0,1,0,1,0,1,0,1
1,0,1,0,0,1,1,0,1,1
1,1,1,0,1,1,0,1,0,0
1,0,1,1,0,1,1,1,1,1
1,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1,1
0,1,0,0,0,1,1,1,0,0
1,1,0,1,0,0,0,1,0,0
1,1,0,0,0,1,0,0,1,1
0,1,1,0,0,1,0,1,0,1
0,1,0,0,0,1,1,0,1,0
1,0,1,1,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,1
0,0,1,0,1,1,1,0,1,0
0,0,1,0,0,1,1,0,0,0
1,1,0,0,0,0,1,1,0,0
1,0,0,1,1,0,0,1,0,1
1,0,1,0,1,1,0,0,1,1
0,0,0,1,0,0,1,1,1,0
1,0,0,0,0,1,1,0,1,0
0,1,1,0,1,0,1,0,0,0
1,0,1,1,1,1,1,0,0,1
0,0,1,0,0,1,1,0,1,0
1,0,1,1,0,1,1,1,1,1
0,1,1,1,0,0,1,1,1,0
0,0,1,1,1,0,1,1,0,1
0,1,0,1,0,0,1,1,1,1
0,0,1,1,0,0,0,1,0,1
1,1,0,1,0,0,0,0,1,0
0,1,0,1,1,0,0,1,1,1
1,0,1,1,1,1,0,0,1,1
0,0,1,0,1,1,1,0,0,0
1,0,1,0,0,1,1,1,1,1
0,1,1,0,0,0,0,0,1,0
0,0,0,0,1,0,1,0,1,0
0,1,1,1,0,0,1,0,0,0
0,0,1,0,0,1,1,0,0,0
1,0,0,1,1,0,0,1,1,1
1,0,0,1,0,1,0,0,0,0
0,0,1,0,0,0,0,1,1,1
1,0,1,1,0,0,0,1,0,0
1,0,0,1,0,1,1,0,0,0
1,0,0,0,0,0,1,0,0,1
1,1,0,1,0,0,0,0,0,0
1,0,1,0,0,0,1,0,1,0
0,0,1,0,1,1,1,1,1,0
0,1,0,0,1,0,0,1,1,1
0,0,0,0,1,1,1,1,0,1
0,1,0,1,1,0,1,0,0,1
0,0,0,1,1,0,0,1,0,0
0,0,0,0,1,0,1,1,1,0
1,1,0,1,1,1,1,1,0,1
1,1,0,1,0,1,0,1,1,1
0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,1,1,1,0,1
1,1,1,1,0,0,0,1,1,1
1,0,1,0,1,1,1,1,0,1
1,0,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,1,1
0,1,0,0,1,1,0,0,1,0
0,1,1,1,0,1,1,0,0,1
0,0,0,0,0,1,1,0,0,1
1,0,1,1,0,0,1,1,1,0
1,1,1,1,0,1,0,1,0,0
1,1,1,1,0,0,0,0,0,1
0,0,1,1,1,0,1,0,0,1
1,1,0,0,0,1,0,0,1,1
1,1,0,0,1,1,0,0,0,1
1,0,1,1,1,0,0,0,1,0
0,1,1,0,0,0,1,0,1,0
1,1,1,1,0,1,0,0,1,0
0,0,0,0,1,1,1,0,0,1
1,0,1,1,1,0,0,0,1,0
0,1,0,0,1,0,1,1,1,1
1,0,0,0,0,0,1,0,0,1
0,1,1,0,0,1,0,1,1,1
0,0,1,1,1,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
1,1,0,1,1,1,1,0,0,1
1,0,1,1,1,1,0,0,1,1
1,1,1,0,1,1,0,1,1,0
1,0,0,0,1,1,1,0,0,0
0,1,1,1,1,1,0,0,1,1
1,0,1,0,0,1,1,0,1,1
0,0,0,0,1,1,0,1,0,1
0,0,0,0,0,1,1,0,0,1
0,1,0,0,1,1,0,1,0,0
1,1,1,1,1,0,1,0,1,1
1,0,1,1,1,1,0,1,1,1
1,1,0,0,1,0,0,0,1,0
1,0,1,0,0,1,1,0,1,1
0,0,1,0,0,0,0,1,0,1
1,1,1,0,1,1,1,1,0,0
1,1,0,0,1,0,1,1,1,0
1,1,1,1,0,0,1,1,1,1
0,1,0,1,1,1,1,1,1,0
1,0,1,1,0,0,0,1,0,0
1,1,0,0,0,0,1,1,1,0
0,0,0,1,1,0,0,0,0,0
1,0,1,1,1,1,1,0,1,1
1,1,1,0,0,0,1,1,0,1
0,0,0,0,1,0,0,1,1,0
1,0,1,0,1,1,1,1,0,1
0,1,0,1,0,0,1,0,0,1
0,1,1,1,0,1,1,0,0,1
0,1,0,0,0,1,0,0,0,0
1,1,0,0,1,1,1,1,0,1
0,0,0,0,1,0,0,1,1,0
0,0,1,1,0,0,0,0,1,1
0,1,0,1,0,1,0,0,1,0
1,0,1,0,1,0,1,0,0,0
0,0,1,0,0,0,0,1,0,1
1,0,1,1,0,1,0,0,0,1
1,1,0,1,0,0,0,1,0,0
0,0,1,0,1,1,0,1,0,0
0,0,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,0,0,1
0,0,0,1,0,1,1,0,1,1
0,0,1,1,0,0,1,0,0,1
1,0,0,1,0,0,0,1,0,1
0,1,0,1,1,1,0,1,0,0
0,0,1,0,1,0,1,1,0,1
1,0,1,1,1,0,1,1,1,0
1,0,0,1,1,0,1,0,1,1
1,0,0,0,1,1,0,1,0,0
0,0,1,0,1,1,0,0,1,0
0,1,0,1,1,0,0,1,0,1
1,1,1,1,1,0,1,1,1,1
1,1,1,0,0,0,1,0,1,1
0,0,1,1,1,1,0,0,0,0
1,0,0,0,0,1,1,0,0,0
0,1,0,0,1,1,1,1,0,0
1,1,1,0,1,1,1,1,0,0
0,1,1,1,1,1,1,0,1,1
0,1,0,0,1,0,1,0,0,1
0,1,0,0,1,0,0,0,1,1
1,1,1,1,0,0,1,0,0,1
0,0,0,0,1,1,0,0,1,1
1,1,0,1,1,1,0,1,0,1
1,1,1,1,0,1,1,0,1,0
0,0,1,0,1,1,0,0,1,0
1,0,1,1,0,1,1,1,1,1
1,0,0,1,0,0,0,0,0,1
1,1,0,0,0,1,0,1,1,1
1,0,1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,1,0,0
1,1,1,1,0,0,1,1,1,1
0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,1,0,0,0
0,1,1,0,1,1,1,1,0,1
1,0,0,1,1,1,0,0,1,0
1,0,1,1,0,1,0,1,0,1
1,1,1,1,0,1,0,0,1,0
1,1,1,1,1,1,1,1,1,0
1,0,1,0,0,0,1,1,1,0
1,0,0,0,0,0,0,0,0,1
0,1,1,1,0,0,0,0,0,0
0,0,1,1,0,0,1,0,0,1
0,1,0,1,1,0,1,1,0,1
1,0,1,0,1,1,1,1,1,1
1,0,1,0,1,0,1,1,1,0
0,1,0,1,1,0,1,1,0,1
1,1,1,0,1,0,0,0,1,1
1,0,1,0,0,0,1,0,1,0
1,1,1,1,1,0,1,1,1,1
0,0,1,0,0,1,0,1,0,0
0,1,0,0,1,0,1,1,0,1
1,0,0,0,0,1,1,1,1,0
0,0,1,0,0,1,1,0,0,0
1,1,0,0,1,1,1,1,0,1
1,0,1,1,0,1,1,1,0,1
0,0,1,0,1,0,0,0,0,1
0,0,1,0,0,0,1,1,0,1
1,1,1,1,1,0,0,0,1,1
0,0,1,0,1,0,0,1,0,1
1,1,0,1,0,0,0,1,0,0
1,0,1,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0
1,1,0,1,0,0,0,0,1,0
1,1,1,1,0,0,1,1,1,1
0,1,1,1,1,0,0,0,1,0
0,1,0,1,0,1,0,0,1,0
1,1,1,0,1,0,1,1,0,1
1,0,1,1,1,0,0,0,0,0
1,0,0,1,1,1,0,1,0,0
0,1,0,1,1,0,0,1,0,1
1,1,0,0,0,0,0,0,1,0
1,1,0,1,1,0,1,0,0,0
0,1,1,1,0,1,0,0,1,1
0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,1,1,1,0
1,1,1,1,0,0,0,0,0,1
0,1,1,0,0,1,0,0,0,1
1,1,1,0,1,1,0,0,1,0
0,1,1,1,1,0,0,0,0,0
0,0,0,1,0,0,1,0,1,0
0,1,1,0,0,1,0,0,1,1
0,0,0,0,1,1,0,1,1,1
0,1,0,1,0,1,0,0,1,0
1,0,0,1,0,0,1,0,1,1
0,1,1,0,1,0,0,0,1,0
0,1,0,0,0,1,0,0,1,0
1,1,0,1,1,1,1,1,1,1
0,1,0,1,1,1,0,0,1,0
0,1,0,0,1,0,0,1,1,1
0,1,0,0,0,1,1,1,0,0
1,0,1,1,0,1,1,1,0,1
1,0,0,0,1,0,0,1,0,1
1,0,0,1,0,1,0,0,0,0
0,1,0,0,0,1,1,1,1,0
0,0,0,1,1,0,1,1,0,0
0,0,0,1,0,1,1,0,0,1
0,0,0,0,1,0,0,1,0,0
1,1,1,1,0,1,0,0,0,0
1,0,0,1,1,1,1,0,1,0
0,0,0,1,1,0,1,0,0,0
1,0,1,1,0,0,1,0,0,0
0,1,1,0,1,1,0,0,0,1
0,1,1,1,1,1,1,1,1,1
0,1,0,0,0,1,1,1,0,0
0,1,0,1,0,0,1,1,0,1
1,1,1,1,1,1,1,0,0,0
0,0,0,1,1,0,0,0,1,0
0,1,0,1,1,0,1,1,0,1
0,0,1,0,0,1,0,1,0,0
0,1,0,1,1,0,0,0,1,1
0,1,0,1,1,0,0,1,0,1
1,0,1,0,0,0,1,0,1,0
1,1,0,1,1,1,1,0,1,1
0,1,0,0,0,0,1,1,1,1
0,1,1,0,1,1,0,1,0,1
1,1,0,0,1,1,1,0,1,1
0,1,0,1,0,1,0,1,0,0
0,0,1,1,1,1,0,1,0,0
1,1,1,1,0,0,1,1,1,1
0,1,1,0,0,1,1,1,1,1
1,1,0,1,0,0,0,1,1,0
0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,1,1,1
1,0,0,1,0,0,1,1,1,1
1,1,0,1,1,1,1,1,0,1
1,1,0,1,0,0,1,1,1,0
0,1,0,0,1,0,0,1,1,1
0,1,0,1,0,0,0,0,1,1
1,0,0,0,0,1,0,1,1,0
1,1,0,0,1,1,1,0,1,1
0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,1,1,1,1,0
0,1,1,0,1,0,1,0,1,0
1,0,0,0,0,0,1,0,0,1
1,1,0,1,0,1,0,0,0,1
1,0,1,1,0,1,1,1,0,1
0,1,0,1,0,1,0,1,0,0
1,1,1,0,1,0,1,1,1,1
0,0,1,1,0,0,0,1,0,1
0,1,0,1,1,0,0,1,1,1
1,1,1,0,1,1,1,0,0,0
0,0,0,1,1,0,1,1,1,0
0,0,1,0,0,1,0,1,0,0
1,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,1,0,1
1,0,0,0,1,1,1,1,1,0
0,1,1,0,1,1,0,0,1,1
0,0,0,0,1,1,0,1,0,1
1,0,1,1,1,1,0,0,1,1
1,0,1,1,0,0,1,0,0,0
0,1,1,0,1,0,0,1,1,0
1,1,0,0,1,1,0,0,1,1
1,0,1,0,1,0,1,0,0,0
1,1,1,0,1,1,0,1,1,0
0,1,0,1,1,1,0,1,1,0
1,0,1,1,0,1,1,1,1,1
0,1,1,1,1,0,1,0,0,0
0,1,1,1,1,0,0,1,0,0
0,0,0,0,1,0,1,1,1,0
0,1,1,0,0,1,0,1,0,1
1,0,0,0,1,1,0,0,0,0
0,1,0,1,1,1,0,0,1,0
1,0,0,1,0,0,1,0,0,1
0,1,1,0,1,1,1,1,1,1
0,0,0,0,1,1,0,0,0,1
0,0,0,0,0,1,0,0,1,1
0,0,1,1,0,1,1,1,1,0
1,0,0,0,0,0,1,1,0,1
0,1,1,1,0,1,0,1,1,1
0,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,1,1,1
1,1,1,0,1,1,1,1,0,0
1,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,1,1,0,0
1,0,1,1,1,1,1,0,1,1
0,1,0,0,1,1,1,0,1,0
1,0,1,0,1,0,1,1,0,0
0,1,0,0,1,0,1,0,0,1
0,1,0,0,0,1,1,1,1,0
0,0,0,0,0,1,1,0,0,1
0,1,0,1,1,0,1,1,1,1
0,1,1,1,1,1,0,0,0,1
0,1,0,1,1,0,1,1,1,1
0,1,1,0,0,1,0,1,1,1
1,0,1,0,0,0,1,1,0,0
1,0,1,0,0,0,0,1,0,0
0,1,1,0,0,1,0,1,1,1
1,0,0,0,1,1,0,1,1,0
0,0,1,0,1,1,0,0,1,0
1,0,1,0,0,1,0,1,0,1
1,1,1,0,1,0,1,1,0,1
0,1,1,0,0,1,0,0,0,1
0,1,0,1,0,1,0,1,0,0
1,0,0,1,1,1,1,0,1,0
1,0,0,0,0,1,1,0,0,0
1,0,0,1,1,1,0,0,1,0
0,0,1,1,0,1,1,1,1,0
1,0,1,0,1,1,1,1,1,1
1,0,0,1,0,1,0,0,1,0
1,1,0,0,1,1,1,1,0,1
0,0,0,1,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1
1,0,1,0,1,1,0,0,0,1
0,0,1,1,1,1,1,1,0,0
1,0,1,1,1,0,0,0,1,0
1,0,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,1,0,0
1,1,1,1,0,1,1,1,1,0
0,1,0,1,1,0,0,0,1,1
0,0,1,0,1,0,0,1,0,1
1,0,1,0,1,0,1,0,1,0
0,1,0,1,1,0,1,0,0,1
0,1,0,1,0,0,0,1,1,1
1,1,0,1,0,0,0,0,0,0
0,0,1,0,0,1,1,1,1,0
1,1,0,1,0,0,0,0,1,0
0,1,0,0,1,1,0,1,1,0
0,0,1,0,0,1,1,0,1,0
0,1,0,0,1,1,0,0,0,0
0,1,0,1,1,0,0,0,1,1
1,0,0,1,1,0,1,1,0,1
0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0
1,0,0,1,0,1,0,1,0,0
0,0,1,1,1,1,1,0,0,0
0,0,1,1,1,0,0,1,1,1
1,0,1,0,1,0,1,1,1,0
0,0,0,1,1,0,1,1,1,0
1,0,1,0,0,1,1,1,1,1
0,0,0,1,1,1,0,0,1,1
0,0,0,1,0,1,0,0,1,1
1,0,1,0,1,1,1,0,1,1
0,0,0,1,1,1,0,0,1,1
1,1,0,0,1,1,0,1,1,1
0,0,1,1,1,0,0,0,1,1
0,0,1,1,0,0,1,1,0,1
0,1,0,1,0,0,0,1,0,1
